id,vehicle description 1,vehicle description 2,license plate,year,city,state
1,Subaru,Outback,XXXXXXXX1,2009,Burnham,ME
2,Honda,Odyssey,XXXXXXXX2,,HAMPDEN,ME
3,Honda,Odyssey,XXXXXXXX3,,Hampden,ME
4,Acura, ,XXXXXXXX4,,BANGOR,ME
5,Subaru,Forester,XXXXXXXX5,,Veazie,ME
6,Subaru,Forester,XXXXXXXX6,,BANGOR,ME
7,Acura, ,XXXXXXXX7,,VEAZIE,ME
8,Lexus,ES330,XXXXXXXX8,2011,KITTERY,ME
9,Volvo,S60,XXXXXXXX9,,ORONO,ME
10,Volvo,S60,XXXXXXXX10,,Orono,ME
11,Toyota,Tundra,XXXXXXXX11,,MILFORD,ME
12,Toyota,Tundra,XXXXXXXX12,,Milford,ME
13,Subaru,Tribeca,XXXXXXXX13,2009,Newport,ME
14,Ford,Ranger,XXXXXXXX14,2003,LaGrange,ME
